time,rebase,apy
2021-06-16 04:34,0.72%,249393.92%
2021-06-16 13:19,0.73%,293349.04%
2021-06-16 22:02,0.73%,280163.19%
2021-06-17 10:09,0.7%,199341.98%
2021-06-17 13:53,0.69%,195165.61%
2021-06-18 00:59,0.67%,147339.05%
2021-06-18 05:56,0.66%,138809.72%
2021-06-18 14:53,0.66%,133913.39%
2021-06-18 22:33,0.64%,110292.32%
2021-06-19 07:22,0.64%,107510.44%
2021-06-19 18:33,0.63%,97461.65%
2021-06-20 03:34,0.62%,91557.75%
2021-06-20 08:30,0.62%,86175.26%
2021-06-20 16:39,0.61%,81720.06%
2021-06-21 00:06,0.57%,52988%
2021-06-21 09:48,0.61%,78120.19%
2021-06-21 17:01,0.61%,75392.96%
2021-06-22 01:03,0.6%,72953.62%
2021-06-22 10:05,0.61%,77008.24%
2021-06-23 01:22,0.59%,64315.63%
2021-06-23 01:33,0.59%,62092.33%
2021-06-23 17:55,0.59%,59586.36%
2021-06-24 01:42,0.58%,56000.31%
2021-06-24 10:08,0.58%,55604.09%
2021-06-24 18:22,0.57%,51905.72%
2021-06-25 02:23,0.57%,51529.12%
2021-06-25 10:49,0.57%,48091.73%
2021-06-25 19:13,0.56%,47278.19%
2021-06-26 03:23,0.56%,44038.66%
2021-06-26 11:24,0.55%,42466.7%
2021-06-26 19:52,0.55%,41118.61%
2021-06-27 03:55,0.55%,39848.85%
2021-06-27 12:18,0.55%,38761.69%
2021-06-27 20:19,0.54%,37846.49%
2021-06-28 04:40,0.54%,36566.98%
2021-06-28 12:52,0.54%,35305.04%
2021-06-28 21:10,0.54%,34801.33%
2021-06-29 05:07,0.53%,33310.16%
2021-06-29 13:30,0.53%,32320.46%
2021-06-29 21:49,0.52%,30848.02%
2021-06-30 05:57,0.52%,30424.98%
2021-06-30 14:14,0.52%,29295.98%
2021-06-30 22:08,0.52%,28229.32%
2021-07-01 06:41,0.51%,27122.31%
2021-07-01 14:45,0.51%,26500.47%
2021-07-01 23:08,0.51%,25994.2%
2021-07-02 07:18,0.51%,25392.81%
2021-07-02 15:30,0.51%,25115.21%
2021-07-02 23:38,0.5%,23868.55%
2021-07-03 07:56,0.5%,22967.15%
2021-07-03 16:12,0.5%,22593.64%
2021-07-04 00:20,0.49%,22051.1%
2021-07-04 08:34,0.49%,21313.64%
2021-07-04 16:49,0.49%,20634.13%
2021-07-05 00:56,0.48%,19970.26%
2021-07-05 09:17,0.48%,19658.11%
2021-07-05 17:25,0.48%,19215.08%
2021-07-06 01:36,0.48%,18765.95%
