time,open,high,low,close,volume
11/16/2021,"$60,202.00","$60,928.00","$58,820.00","$60,403.00",$41.47B
11/15/2021,"$63,700.00","$63,700.00","$58,979.00","$60,346.00",$70.01B
11/14/2021,"$65,610.00","$66,134.00","$63,671.00","$63,746.00",$40.88B
11/13/2021,"$64,534.00","$65,663.00","$64,009.00","$65,663.00",$33.29B
11/12/2021,"$64,259.00","$64,971.00","$63,839.00","$64,528.00",$33.91B
11/11/2021,"$64,904.00","$65,437.00","$62,732.00","$64,301.00",$47.66B
11/10/2021,"$65,056.00","$65,556.00","$64,524.00","$64,941.00",$42.79B
11/9/2021,"$67,070.00","$68,839.00","$63,402.00","$65,175.00",$65.09B
11/8/2021,"$67,622.00","$68,340.00","$66,468.00","$67,032.00",$50.23B
11/7/2021,"$63,403.00","$67,602.00","$63,403.00","$67,602.00",$55.56B
11/6/2021,"$61,616.00","$63,410.00","$61,616.00","$63,410.00",$31.45B
11/5/2021,"$61,108.00","$61,624.00","$60,770.00","$61,615.00",$34.75B
11/4/2021,"$61,538.00","$62,326.00","$61,058.00","$61,058.00",$38.50B
11/3/2021,"$63,022.00","$63,050.00","$61,266.00","$61,641.00",$42.43B
11/2/2021,"$63,289.00","$63,301.00","$61,178.00","$62,937.00",$46.78B
11/1/2021,"$60,989.00","$64,157.00","$60,989.00","$63,336.00",$47.06B
10/31/2021,"$61,437.00","$62,293.00","$59,838.00","$60,983.00",$46.82B
10/30/2021,"$61,912.00","$62,006.00","$60,565.00","$61,463.00",$40.26B
10/29/2021,"$62,312.00","$62,312.00","$61,393.00","$61,961.00",$36.39B
10/28/2021,"$60,698.00","$62,877.00","$60,659.00","$62,410.00",$47.18B
10/27/2021,"$58,561.00","$62,171.00","$58,338.00","$60,702.00",$59.37B
10/26/2021,"$60,413.00","$60,922.00","$58,435.00","$58,548.00",$56.69B
10/25/2021,"$63,157.00","$63,157.00","$60,429.00","$60,429.00",$44.76B
10/24/2021,"$60,926.00","$63,513.00","$60,926.00","$63,056.00",$42.49B
10/23/2021,"$61,385.00","$61,444.00","$59,932.00","$60,993.00",$41.90B
10/22/2021,"$60,770.00","$61,672.00","$60,109.00","$61,383.00",$38.63B
10/21/2021,"$62,256.00","$63,398.00","$60,397.00","$60,766.00",$57.28B
10/20/2021,"$66,011.00","$66,369.00","$62,384.00","$62,405.00",$73.69B
10/19/2021,"$64,311.00","$66,857.00","$64,016.00","$65,972.00",$58.06B
10/18/2021,"$62,064.00","$64,364.00","$61,647.00","$64,318.00",$59.64B
10/17/2021,"$61,586.00","$62,633.00","$60,112.00","$62,109.00",$57.36B
10/16/2021,"$60,904.00","$61,591.00","$59,311.00","$61,590.00",$43.31B
10/15/2021,"$61,708.00","$62,082.00","$60,353.00","$60,900.00",$45.20B
10/14/2021,"$57,375.00","$62,638.00","$57,375.00","$61,686.00",$78.93B
10/13/2021,"$57,387.00","$58,364.00","$57,215.00","$57,414.00",$47.57B
10/12/2021,"$56,053.00","$57,600.00","$54,638.00","$57,359.00",$56.04B
10/11/2021,"$57,527.00","$57,538.00","$54,503.00","$56,079.00",$56.93B
10/10/2021,"$54,740.00","$57,692.00","$54,740.00","$57,570.00",$53.25B
10/9/2021,"$54,972.00","$56,313.00","$54,229.00","$54,746.00",$51.24B
10/8/2021,"$54,006.00","$55,369.00","$53,817.00","$54,972.00",$39.42B
10/7/2021,"$53,806.00","$55,792.00","$53,806.00","$54,013.00",$47.96B
10/6/2021,"$55,315.00","$55,315.00","$53,808.00","$53,808.00",$50.68B
10/5/2021,"$51,504.00","$55,465.00","$50,813.00","$55,346.00",$72.54B
10/4/2021,"$49,232.00","$51,760.00","$49,232.00","$51,520.00",$50.35B
10/3/2021,"$48,153.00","$49,321.00","$47,155.00","$49,254.00",$47.91B
10/2/2021,"$47,618.00","$48,970.00","$47,334.00","$48,155.00",$36.00B
10/1/2021,"$48,128.00","$48,128.00","$47,624.00","$47,624.00",$37.59B
9/30/2021,"$43,826.00","$48,285.00","$43,652.00","$48,064.00",$63.20B
9/29/2021,"$41,557.00","$44,055.00","$41,557.00","$43,824.00",$44.18B
9/28/2021,"$41,080.00","$42,514.00","$41,010.00","$41,611.00",$38.86B
9/27/2021,"$42,212.00","$42,653.00","$41,010.00","$41,130.00",$42.59B
9/26/2021,"$43,225.00","$44,118.00","$42,230.00","$42,230.00",$40.21B
9/25/2021,"$42,753.00","$43,813.00","$41,281.00","$43,232.00",$46.17B
9/24/2021,"$42,867.00","$42,890.00","$41,899.00","$42,769.00",$41.52B
9/23/2021,"$44,897.00","$44,979.00","$41,108.00","$42,909.00",$67.16B
9/22/2021,"$43,604.00","$44,905.00","$43,386.00","$44,905.00",$47.98B
9/21/2021,"$40,802.00","$44,010.00","$40,802.00","$43,616.00",$56.24B
9/20/2021,"$43,058.00","$43,293.00","$39,732.00","$40,750.00",$74.26B
9/19/2021,"$47,288.00","$47,288.00","$42,650.00","$43,097.00",$70.08B
9/18/2021,"$48,346.00","$48,346.00","$47,270.00","$47,320.00",$36.51B
9/17/2021,"$47,355.00","$48,611.00","$47,355.00","$48,335.00",$38.65B
9/16/2021,"$47,764.00","$47,830.00","$47,237.00","$47,402.00",$40.16B
9/15/2021,"$48,146.00","$48,336.00","$47,481.00","$47,831.00",$43.37B
9/14/2021,"$47,155.00","$48,272.00","$47,155.00","$48,139.00",$43.31B
9/13/2021,"$45,010.00","$47,178.00","$45,010.00","$47,178.00",$49.52B
9/12/2021,"$46,073.00","$46,522.00","$43,844.00","$44,986.00",$62.98B
9/11/2021,"$45,256.00","$46,205.00","$45,256.00","$46,080.00",$37.91B
9/10/2021,"$44,915.00","$45,714.00","$44,915.00","$45,255.00",$41.90B
9/9/2021,"$46,464.00","$46,547.00","$44,786.00","$44,950.00",$55.25B
9/8/2021,"$46,109.00","$46,711.00","$46,109.00","$46,407.00",$53.66B
9/7/2021,"$47,010.00","$47,240.00","$45,519.00","$46,221.00",$71.36B
9/6/2021,"$52,734.00","$52,734.00","$43,810.00","$47,056.00",$105.34B
9/5/2021,"$51,773.00","$52,707.00","$51,509.00","$52,707.00",$52.54B
9/4/2021,"$49,955.00","$51,763.00","$49,878.00","$51,763.00",$45.99B
9/3/2021,"$50,026.00","$50,293.00","$49,711.00","$49,949.00",$46.90B
9/2/2021,"$49,293.00","$50,860.00","$48,856.00","$50,042.00",$62.02B
9/1/2021,"$48,850.00","$50,124.00","$48,850.00","$49,272.00",$54.15B
8/31/2021,"$47,182.00","$48,913.00","$47,182.00","$48,838.00",$54.11B
8/30/2021,"$47,056.00","$47,674.00","$47,056.00","$47,149.00",$48.92B
8/29/2021,"$48,643.00","$48,643.00","$46,857.00","$46,857.00",$44.23B
8/28/2021,"$48,964.00","$49,563.00","$48,004.00","$48,845.00",$38.85B
8/27/2021,"$49,107.00","$49,217.00","$48,670.00","$48,944.00",$36.64B
8/26/2021,"$46,926.00","$49,054.00","$46,880.00","$49,040.00",$48.54B
8/25/2021,"$49,062.00","$49,168.00","$46,510.00","$46,952.00",$50.37B
8/24/2021,"$47,762.00","$49,141.00","$47,484.00","$49,024.00",$46.40B
8/23/2021,"$49,547.00","$49,559.00","$47,702.00","$47,702.00",$50.09B
8/22/2021,"$49,298.00","$50,321.00","$49,298.00","$49,498.00",$48.88B
8/21/2021,"$48,890.00","$49,400.00","$48,289.00","$49,303.00",$38.53B
8/20/2021,"$49,349.00","$49,602.00","$48,534.00","$48,890.00",$50.95B
8/19/2021,"$46,747.00","$49,302.00","$46,747.00","$49,302.00",$49.33B
8/18/2021,"$44,771.00","$46,986.00","$44,315.00","$46,807.00",$53.01B
8/17/2021,"$44,757.00","$45,873.00","$44,717.00","$44,804.00",$47.29B
8/16/2021,"$45,975.00","$46,861.00","$44,639.00","$44,794.00",$49.85B
8/15/2021,"$47,018.00","$47,755.00","$45,979.00","$45,979.00",$47.52B
8/14/2021,"$47,101.00","$47,355.00","$45,830.00","$47,014.00",$44.36B
8/13/2021,"$47,799.00","$48,101.00","$46,139.00","$47,102.00",$44.70B
8/12/2021,"$44,450.00","$47,806.00","$44,450.00","$47,756.00",$46.55B
8/11/2021,"$45,587.00","$46,072.00","$43,937.00","$44,458.00",$49.02B
8/10/2021,"$45,621.00","$46,665.00","$45,574.00","$45,594.00",$46.79B
8/9/2021,"$46,259.00","$46,612.00","$44,809.00","$45,596.00",$48.97B
8/8/2021,"$43,813.00","$46,422.00","$43,029.00","$46,272.00",$63.63B
8/7/2021,"$44,550.00","$45,175.00","$43,313.00","$43,818.00",$55.00B
8/6/2021,"$42,808.00","$44,643.00","$42,696.00","$44,555.00",$59.66B
8/5/2021,"$40,843.00","$43,301.00","$40,094.00","$42,862.00",$57.35B
8/4/2021,"$39,728.00","$41,173.00","$37,664.00","$40,883.00",$56.36B
8/3/2021,"$38,233.00","$39,947.00","$37,843.00","$39,764.00",$38.00B
8/2/2021,"$39,185.00","$39,692.00","$37,733.00","$38,245.00",$42.26B
8/1/2021,"$39,881.00","$40,348.00","$38,833.00","$39,157.00",$40.10B
7/31/2021,"$41,454.00","$42,376.00","$39,603.00","$39,880.00",$40.96B
7/30/2021,"$42,174.00","$42,279.00","$41,171.00","$41,455.00",$38.35B
7/29/2021,"$40,048.00","$42,248.00","$38,578.00","$42,244.00",$50.44B
7/28/2021,"$40,047.00","$40,562.00","$39,302.00","$39,976.00",$40.62B
7/27/2021,"$39,484.00","$40,844.00","$38,843.00","$40,010.00",$60.64B
7/26/2021,"$37,271.00","$39,484.00","$36,569.00","$39,472.00",$53.57B
