evt_block_time,initialBCV,newBCV,adjustment,addition,evt_tx_hash,contract_address,evt_index,evt_block_number
2021-12-07 07:52,754,742,0,FALSE,\xb93b803a72ef686788cb77d8ea2a26f5a7f034ad66bd0116c1a0c32eabbbacf5,\x575409f8d77c12b05fed8b455815f0e54797381c,282,13757383
2021-12-07 06:45,766,754,12,FALSE,\x6f96b42373b108b148148591a436a44524d7b885fe786ffd4b858938197283a1,\x575409f8d77c12b05fed8b455815f0e54797381c,509,13757090
2021-12-07 04:40,778,766,12,FALSE,\x3f8b00c64747e543d7b67938eaecfb66d97867c6e2996664c94750052a149cb4,\x575409f8d77c12b05fed8b455815f0e54797381c,56,13756539
2021-12-07 04:13,790,778,12,FALSE,\x6738507a272079225c0bbcd610d788a612a4c42a3a3bc76994662b1d1680f322,\x575409f8d77c12b05fed8b455815f0e54797381c,28,13756399
2021-12-07 03:40,802,790,12,FALSE,\x71f2b19b562c78be979ff8fce41f01cb80e80ecd0b86ed51d4be729e33402afb,\x575409f8d77c12b05fed8b455815f0e54797381c,396,13756264
2021-12-07 01:48,814,802,12,FALSE,\xe3465d9a591d6c7bcb0f62c03d996157ae6eda3c11712ff6806cd9a230426b19,\x575409f8d77c12b05fed8b455815f0e54797381c,14,13755800
2021-12-07 01:12,826,814,12,FALSE,\x2d2b1408170dde346a5402c3780424f62d7ec1ae056b5c622d322f86bbeab54a,\x575409f8d77c12b05fed8b455815f0e54797381c,43,13755646
2021-12-07 00:44,838,826,12,FALSE,\x83cf1157d731cb3a8490ccdc06d34c2658006ee67ddb41187cc5823039325bb5,\x575409f8d77c12b05fed8b455815f0e54797381c,192,13755512
2021-12-06 23:49,850,838,12,FALSE,\x3ae9a7b105d9dedd841ce7ed2270725eea3b2f242df73074c9ed1bc204a0b516,\x575409f8d77c12b05fed8b455815f0e54797381c,607,13755254
2021-12-06 23:06,862,850,12,FALSE,\x28cf8235f3e21cbed43996eab15c0d03aee714e3fa073f702e3d6c625ec5a687,\x575409f8d77c12b05fed8b455815f0e54797381c,56,13755070
2021-12-06 22:27,874,862,12,FALSE,\x4f3cd44ed996e1e1d0ea0feb246bdd99967182b212fb681871e4a7d6be1ba77a,\x575409f8d77c12b05fed8b455815f0e54797381c,26,13754894
2021-12-06 21:47,886,874,12,FALSE,\x77262aed77643c734f1a516223d3a45f058718009f778a2b54f2a3483bda0939,\x575409f8d77c12b05fed8b455815f0e54797381c,53,13754741
2021-12-06 19:54,898,886,12,FALSE,\x0a95df7a9c14bfae1451138316936f161b675b4380f2b0283f7c137a008c3609,\x575409f8d77c12b05fed8b455815f0e54797381c,69,13754227
2021-12-06 17:34,910,898,12,FALSE,\xae8254a05077205df389aada4b92ff1eae8e4b0b13ddc8e897e31e7056c5c177,\x575409f8d77c12b05fed8b455815f0e54797381c,411,13753613
2021-12-06 17:01,922,910,12,FALSE,\xbef836979c3f82335c0c21f6bb6550c3482678c20881e417fca6387162ab780c,\x575409f8d77c12b05fed8b455815f0e54797381c,504,13753481
2021-12-06 16:29,934,922,12,FALSE,\xc4f1628dd2f67b63590e87bda97a0cb38db6a014a2cf028b31b6d4e396f10e5b,\x575409f8d77c12b05fed8b455815f0e54797381c,238,13753348
2021-12-06 13:16,946,934,12,FALSE,\x6ab2c0eba863b63e5877a4169482c432ef7d6a9b11b973bf71480332d17fe509,\x575409f8d77c12b05fed8b455815f0e54797381c,108,13752509
2021-12-06 09:35,958,946,12,FALSE,\x5458c39c278011bd9ba79ffb24cf9731878af200a6a46f5dda7e4e2c010769a7,\x575409f8d77c12b05fed8b455815f0e54797381c,105,13751516
2021-12-06 09:01,970,958,12,FALSE,\x1ede95114dba42dab1a3bbd34e3791379d34bc48a07e31020ad3c618ec226448,\x575409f8d77c12b05fed8b455815f0e54797381c,545,13751373
2021-12-06 06:53,982,970,12,FALSE,\xc248c0f7eedb46b0944982f234e806e383649a15d32cbca31ff76959bc8d6e7a,\x575409f8d77c12b05fed8b455815f0e54797381c,268,13750821
2021-12-03 06:39,1019,982,0,FALSE,\x824e2cca67466f0760248ed6b4000aa9fc8b23f667dc02e30b327803a7ffa21c,\x575409f8d77c12b05fed8b455815f0e54797381c,38,13732049
2021-12-03 06:08,1056,1019,37,FALSE,\x42eb04fdf0ee4cca6c4c0b10140fff2a5f05a47334399c550cc3aaab88f9da9d,\x575409f8d77c12b05fed8b455815f0e54797381c,247,13731913
