time,open,high,low,close,volume
11/15/2021,$836.75,$836.75,$775.63,$784.51,$62.08M
11/14/2021,$882.07,$886.44,$826.47,$832.55,$54.30M
11/13/2021,$888.55,$900.77,$860.80,$882.58,$36.71M
11/12/2021,$874.53,$903.13,$865.79,$883.39,$40.34M
11/11/2021,$889.59,$928.64,$865.96,$873.59,$59.30M
11/10/2021,$897.52,$927.44,$872.85,$894.71,$49.41M
11/9/2021,$950.37,$950.37,$873.39,$896.63,$70.74M
11/8/2021,$961.27,$988.07,$929.40,$949.61,$54.82M
11/7/2021,$927.66,"$1,012.00",$918.79,$964.58,$71.88M
11/6/2021,$829.27,$934.38,$821.09,$921.14,$79.27M
11/5/2021,$924.66,$948.15,$819.62,$825.55,$95.80M
11/4/2021,$994.30,"$1,005.00",$875.09,$927.10,$100.04M
11/3/2021,"$1,048.00","$1,080.00",$942.09,$994.73,$101.23M
11/2/2021,"$1,106.00","$1,169.00","$1,017.00","$1,048.00",$94.21M
11/1/2021,"$1,085.00","$1,136.00","$1,073.00","$1,103.00",$78.97M
10/31/2021,"$1,059.00","$1,120.00","$1,040.00","$1,084.00",$102.51M
10/30/2021,"$1,126.00","$1,146.00","$1,049.00","$1,060.00",$100.97M
10/29/2021,"$1,192.00","$1,217.00","$1,120.00","$1,128.00",$80.60M
10/28/2021,"$1,204.00","$1,244.00","$1,121.00","$1,193.00",$114.45M
10/27/2021,"$1,103.00","$1,232.00","$1,103.00","$1,203.00",$103.74M
10/26/2021,"$1,128.00","$1,133.00","$1,035.00","$1,099.00",$117.67M
10/25/2021,"$1,248.00","$1,291.00","$1,019.00","$1,128.00",$229.41M
10/24/2021,"$1,163.00","$1,262.00","$1,143.00","$1,250.00",$106.75M
10/23/2021,"$1,087.00","$1,196.00","$1,071.00","$1,161.00",$115.80M
10/22/2021,$982.26,"$1,108.00",$975.20,"$1,085.00",$96.40M
10/21/2021,$927.17,$989.34,$907.85,$981.94,$87.11M
10/20/2021,$971.39,$992.05,$916.65,$925.92,$95.34M
10/19/2021,$868.17,$992.46,$868.17,$970.32,$101.93M
10/18/2021,$833.86,$913.22,$832.50,$868.11,$80.37M
10/17/2021,$842.91,$845.11,$721.50,$833.07,$132.46M
10/16/2021,$876.33,"$1,000.00",$800.41,$843.49,$112.63M
10/15/2021,"$1,091.00","$1,100.00",$867.67,$876.55,$93.81M
10/14/2021,"$1,201.00","$1,255.00",$606.15,"$1,085.00",$655.19M
10/13/2021,"$1,345.00","$1,405.00","$1,110.00","$1,195.00",$126.28M
10/12/2021,"$1,178.00","$1,348.00","$1,161.00","$1,344.00",$93.36M
10/11/2021,"$1,093.00","$1,363.00","$1,013.00","$1,181.00",$92.38M
10/10/2021,"$1,047.00","$1,151.00","$1,033.00","$1,098.00",$93.08M
10/9/2021,$963.95,"$1,070.00",$936.86,"$1,050.00",$67.31M
10/8/2021,$865.58,$971.76,$859.20,$967.03,$43.63M
10/7/2021,$824.08,"$1,002.00",$813.45,$865.06,$42.65M
10/6/2021,$746.99,$857.02,$730.24,$828.71,$69.31M
10/5/2021,$899.63,$930.54,$742.29,$750.49,$57.56M
10/4/2021,$907.34,$950.91,$830.03,$900.24,$61.67M
10/3/2021,$856.57,$949.91,$829.47,$901.07,$77.49M
10/2/2021,$781.17,$868.18,$770.62,$864.05,$40.46M
10/1/2021,$747.77,$825.85,$737.73,$779.65,$32.10M
9/30/2021,$771.14,$810.46,$676.64,$744.52,$55.93M
9/29/2021,$722.59,$860.36,$708.17,$775.22,$44.52M
9/28/2021,$641.61,$742.61,$638.04,$721.38,$42.46M
9/27/2021,$624.16,$681.58,$613.79,$640.98,$33.09M
9/26/2021,$587.19,$645.08,$577.23,$623.07,$34.43M
9/25/2021,$581.78,$608.89,$537.00,$587.16,$25.19M
9/24/2021,$615.74,$675.93,$573.67,$582.40,$38.24M
9/23/2021,$656.44,$664.35,$522.70,$613.70,$55.41M
9/22/2021,$631.16,$701.50,$625.87,$654.62,$32.40M
9/21/2021,$634.57,$658.84,$576.56,$630.74,$42.10M
9/20/2021,$535.96,$642.35,$517.30,$637.89,$46.35M
9/19/2021,$588.52,$603.92,$475.24,$536.25,$48.33M
9/18/2021,$544.87,$600.59,$536.32,$589.00,$21.66M
9/17/2021,$540.26,$575.94,$523.40,$549.32,$23.45M
9/16/2021,$514.44,$548.23,$489.03,$540.46,$29.93M
9/15/2021,$469.29,$520.83,$461.57,$512.40,$17.52M
9/14/2021,$462.63,$496.46,$444.41,$472.67,$23.37M
9/13/2021,$433.68,$463.14,$425.26,$460.22,$17.23M
9/12/2021,$457.37,$482.60,$406.23,$433.41,$23.98M
9/11/2021,$434.38,$463.90,$419.23,$455.17,$18.07M
9/10/2021,$410.49,$468.52,$401.58,$433.84,$10.86M
9/9/2021,$399.08,$428.41,$365.96,$408.66,$17.31M
9/8/2021,$370.41,$398.77,$363.34,$398.54,$11.75M
9/7/2021,$349.19,$373.09,$337.69,$367.71,$11.72M
9/6/2021,$350.80,$371.62,$336.83,$349.66,$12.94M
9/5/2021,$326.37,$361.34,$320.12,$348.91,$10.51M
9/4/2021,$314.06,$333.13,$311.43,$326.16,$7.20M
9/3/2021,$327.44,$332.49,$306.67,$312.58,$4.30M
9/2/2021,$316.06,$334.53,$313.84,$326.38,$6.45M
9/1/2021,$312.67,$324.00,$307.91,$316.63,$5.21M
8/31/2021,$312.54,$334.84,$305.26,$312.20,$8.15M
8/30/2021,$335.63,$341.02,$285.11,$311.37,$11.49M
8/29/2021,$353.77,$363.32,$332.84,$336.05,$6.90M
8/28/2021,$364.68,$366.00,$340.93,$353.76,$7.42M
8/27/2021,$341.06,$371.08,$339.41,$365.01,$6.59M
8/26/2021,$334.71,$350.69,$329.61,$341.47,$6.31M
8/25/2021,$301.58,$335.73,$296.23,$332.94,$8.86M
8/24/2021,$302.14,$309.39,$293.82,$302.65,$5.79M
8/23/2021,$307.72,$340.94,$299.36,$301.68,$9.23M
8/22/2021,$278.25,$309.09,$277.55,$306.10,$8.72M
8/21/2021,$260.27,$278.54,$254.16,$276.70,$6.50M
