time,open,high,low,close,volume
11/16/2021,"$4,219.00","$4,282.00","$4,094.00","$4,270.00",$25.72B
11/15/2021,"$4,571.00","$4,571.00","$4,132.00","$4,230.00",$43.99B
11/14/2021,"$4,634.00","$4,759.00","$4,551.00","$4,576.00",$25.51B
11/13/2021,"$4,657.00","$4,705.00","$4,544.00","$4,637.00",$20.13B
11/12/2021,"$4,678.00","$4,716.00","$4,607.00","$4,658.00",$19.74B
11/11/2021,"$4,729.00","$4,812.00","$4,533.00","$4,680.00",$30.53B
11/10/2021,"$4,640.00","$8,518.00","$4,602.00","$4,731.00",$27.20B
11/9/2021,"$4,738.00","$4,836.00","$4,529.00","$4,650.00",$39.89B
11/8/2021,"$4,813.00","$4,830.00","$4,724.00","$4,736.00",$28.36B
11/7/2021,"$4,621.00","$4,820.00","$4,621.00","$4,811.00",$30.55B
11/6/2021,"$4,527.00","$4,641.00","$4,527.00","$4,622.00",$20.59B
11/5/2021,"$4,483.00","$4,526.00","$4,360.00","$4,526.00",$23.08B
11/4/2021,"$4,541.00","$4,559.00","$4,460.00","$4,481.00",$23.67B
11/3/2021,"$4,610.00","$4,610.00","$4,454.00","$4,549.00",$28.95B
11/2/2021,"$4,594.00","$4,658.00","$4,483.00","$4,604.00",$33.06B
11/1/2021,"$4,325.00","$4,597.00","$4,325.00","$4,597.00",$33.17B
10/31/2021,"$4,293.00","$4,369.00","$4,171.00","$4,324.00",$29.77B
10/30/2021,"$4,328.00","$4,382.00","$4,193.00","$4,293.00",$27.94B
10/29/2021,"$4,421.00","$4,421.00","$4,264.00","$4,329.00",$24.90B
10/28/2021,"$4,292.00","$4,462.00","$4,292.00","$4,428.00",$36.36B
10/27/2021,"$3,930.00","$4,290.00","$3,930.00","$4,290.00",$40.51B
10/26/2021,"$4,135.00","$4,274.00","$3,929.00","$3,929.00",$41.75B
10/25/2021,"$4,222.00","$4,272.00","$4,110.00","$4,135.00",$28.41B
10/24/2021,"$4,084.00","$4,220.00","$4,084.00","$4,216.00",$24.48B
10/23/2021,"$4,171.00","$4,172.00","$3,991.00","$4,088.00",$25.35B
10/22/2021,"$3,975.00","$4,171.00","$3,964.00","$4,171.00",$25.48B
10/21/2021,"$4,056.00","$4,137.00","$3,918.00","$3,975.00",$31.41B
10/20/2021,"$4,159.00","$4,348.00","$4,024.00","$4,067.00",$49.38B
10/19/2021,"$3,878.00","$4,156.00","$3,859.00","$4,156.00",$32.92B
10/18/2021,"$3,747.00","$3,879.00","$3,747.00","$3,877.00",$25.40B
10/17/2021,"$3,849.00","$3,878.00","$3,699.00","$3,749.00",$28.06B
10/16/2021,"$3,830.00","$3,907.00","$3,674.00","$3,849.00",$26.82B
10/15/2021,"$3,869.00","$3,947.00","$3,811.00","$3,830.00",$25.25B
10/14/2021,"$3,791.00","$3,908.00","$3,760.00","$3,868.00",$34.17B
10/13/2021,"$3,608.00","$3,810.00","$3,605.00","$3,793.00",$31.89B
10/12/2021,"$3,494.00","$3,605.00","$3,436.00","$3,605.00",$41.48B
10/11/2021,"$3,543.00","$3,543.00","$3,415.00","$3,495.00",$30.21B
10/10/2021,"$3,418.00","$3,615.00","$3,402.00","$3,547.00",$29.60B
10/9/2021,"$3,575.00","$3,590.00","$3,418.00","$3,418.00",$27.68B
10/8/2021,"$3,565.00","$3,628.00","$3,546.00","$3,575.00",$19.88B
10/7/2021,"$3,587.00","$3,664.00","$3,544.00","$3,565.00",$28.40B
10/6/2021,"$3,574.00","$3,640.00","$3,483.00","$3,588.00",$34.07B
10/5/2021,"$3,517.00","$3,631.00","$3,379.00","$3,577.00",$39.69B
10/4/2021,"$3,386.00","$3,540.00","$3,386.00","$3,518.00",$28.79B
10/3/2021,"$3,414.00","$3,432.00","$3,288.00","$3,387.00",$32.77B
10/2/2021,"$3,385.00","$3,473.00","$3,351.00","$3,414.00",$27.21B
10/1/2021,"$3,308.00","$3,451.00","$3,267.00","$3,385.00",$30.74B
9/30/2021,"$3,001.00","$3,309.00","$2,998.00","$3,303.00",$39.66B
9/29/2021,"$2,853.00","$3,038.00","$2,853.00","$3,001.00",$32.47B
9/28/2021,"$2,809.00","$2,942.00","$2,799.00","$2,857.00",$26.88B
9/27/2021,"$2,930.00","$2,962.00","$2,801.00","$2,812.00",$31.78B
9/26/2021,"$3,063.00","$3,147.00","$2,931.00","$2,931.00",$32.68B
9/25/2021,"$2,927.00","$3,093.00","$2,773.00","$3,064.00",$43.11B
9/24/2021,"$2,932.00","$2,963.00","$2,817.00","$2,928.00",$37.73B
9/23/2021,"$3,155.00","$3,155.00","$2,762.00","$2,935.00",$52.84B
9/22/2021,"$3,080.00","$3,170.00","$3,050.00","$3,155.00",$32.18B
9/21/2021,"$2,770.00","$3,082.00","$2,770.00","$3,082.00",$45.21B
9/20/2021,"$2,980.00","$3,071.00","$2,680.00","$2,767.00",$56.11B
9/19/2021,"$3,332.00","$3,332.00","$2,942.00","$2,983.00",$54.56B
9/18/2021,"$3,439.00","$3,446.00","$3,292.00","$3,333.00",$26.38B
9/17/2021,"$3,404.00","$3,532.00","$3,387.00","$3,439.00",$27.78B
9/16/2021,"$3,570.00","$3,584.00","$3,376.00","$3,408.00",$33.36B
9/15/2021,"$3,615.00","$3,669.00","$3,502.00","$3,576.00",$37.85B
9/14/2021,"$3,438.00","$3,613.00","$3,379.00","$3,613.00",$33.35B
9/13/2021,"$3,289.00","$3,439.00","$3,289.00","$3,439.00",$33.52B
9/12/2021,"$3,407.00","$3,413.00","$3,131.00","$3,286.00",$47.30B
9/11/2021,"$3,272.00","$3,464.00","$3,254.00","$3,409.00",$31.87B
9/10/2021,"$3,215.00","$3,341.00","$3,215.00","$3,272.00",$32.03B
9/9/2021,"$3,432.00","$3,492.00","$3,172.00","$3,217.00",$43.01B
9/8/2021,"$3,502.00","$3,556.00","$3,403.00","$3,427.00",$43.55B
9/7/2021,"$3,446.00","$3,554.00","$3,256.00","$3,510.00",$61.81B
9/6/2021,"$3,931.00","$3,931.00","$3,069.00","$3,448.00",$82.51B
9/5/2021,"$3,951.00","$3,975.00","$3,884.00","$3,930.00",$35.14B
9/4/2021,"$3,890.00","$3,983.00","$3,854.00","$3,951.00",$34.30B
9/3/2021,"$3,941.00","$3,963.00","$3,848.00","$3,890.00",$38.94B
9/2/2021,"$3,789.00","$4,016.00","$3,734.00","$3,942.00",$54.48B
9/1/2021,"$3,828.00","$3,832.00","$3,719.00","$3,788.00",$45.18B
8/31/2021,"$3,433.00","$3,828.00","$3,418.00","$3,828.00",$59.88B
8/30/2021,"$3,233.00","$3,460.00","$3,205.00","$3,431.00",$57.47B
8/29/2021,"$3,228.00","$3,332.00","$3,159.00","$3,233.00",$38.41B
8/28/2021,"$3,249.00","$3,281.00","$3,167.00","$3,229.00",$26.28B
8/27/2021,"$3,278.00","$3,287.00","$3,222.00","$3,249.00",$22.03B
8/26/2021,"$3,099.00","$3,272.00","$3,085.00","$3,272.00",$32.00B
8/25/2021,"$3,232.00","$3,238.00","$3,073.00","$3,101.00",$32.56B
8/24/2021,"$3,177.00","$3,243.00","$3,100.00","$3,230.00",$34.47B
8/23/2021,"$3,326.00","$3,338.00","$3,160.00","$3,172.00",$35.99B
8/22/2021,"$3,242.00","$3,368.00","$3,242.00","$3,321.00",$35.71B
8/21/2021,"$3,228.00","$3,269.00","$3,142.00","$3,242.00",$27.58B
8/20/2021,"$3,286.00","$3,304.00","$3,216.00","$3,227.00",$29.05B
8/19/2021,"$3,184.00","$3,301.00","$3,184.00","$3,284.00",$34.28B
8/18/2021,"$3,019.00","$3,188.00","$2,985.00","$3,188.00",$36.41B
8/17/2021,"$3,019.00","$3,116.00","$2,972.00","$3,022.00",$38.70B
8/16/2021,"$3,152.00","$3,272.00","$3,018.00","$3,021.00",$46.16B
8/15/2021,"$3,311.00","$3,327.00","$3,152.00","$3,152.00",$39.93B
8/14/2021,"$3,267.00","$3,313.00","$3,129.00","$3,310.00",$37.69B
8/13/2021,"$3,322.00","$3,326.00","$3,215.00","$3,267.00",$33.26B
8/12/2021,"$3,050.00","$3,319.00","$3,050.00","$3,319.00",$40.36B
8/11/2021,"$3,166.00","$3,224.00","$2,999.00","$3,050.00",$41.96B
8/10/2021,"$3,144.00","$3,270.00","$3,133.00","$3,166.00",$42.31B
8/9/2021,"$3,161.00","$3,225.00","$3,063.00","$3,142.00",$46.95B
8/8/2021,"$3,013.00","$3,173.00","$2,919.00","$3,162.00",$59.79B
8/7/2021,"$3,156.00","$3,176.00","$2,961.00","$3,014.00",$50.27B
8/6/2021,"$2,889.00","$3,158.00","$2,884.00","$3,157.00",$59.63B
8/5/2021,"$2,826.00","$2,942.00","$2,743.00","$2,894.00",$45.60B
8/4/2021,"$2,725.00","$2,842.00","$2,560.00","$2,828.00",$58.96B
8/3/2021,"$2,510.00","$2,757.00","$2,484.00","$2,727.00",$43.97B
8/2/2021,"$2,609.00","$2,619.00","$2,456.00","$2,511.00",$38.61B
8/1/2021,"$2,557.00","$2,655.00","$2,520.00","$2,607.00",$38.88B
7/31/2021,"$2,530.00","$2,684.00","$2,516.00","$2,557.00",$38.82B
7/30/2021,"$2,460.00","$2,543.00","$2,427.00","$2,530.00",$28.99B
7/29/2021,"$2,384.00","$2,473.00","$2,338.00","$2,464.00",$35.19B
7/28/2021,"$2,302.00","$2,391.00","$2,273.00","$2,379.00",$25.62B
7/27/2021,"$2,301.00","$2,338.00","$2,252.00","$2,300.00",$33.73B
7/26/2021,"$2,230.00","$2,315.00","$2,182.00","$2,300.00",$42.23B
7/25/2021,"$2,191.00","$2,413.00","$2,187.00","$2,229.00",$53.05B
7/24/2021,"$2,187.00","$2,198.00","$2,116.00","$2,192.00",$24.80B
7/23/2021,"$2,125.00","$2,196.00","$2,114.00","$2,186.00",$27.62B
7/22/2021,"$2,027.00","$2,127.00","$2,006.00","$2,125.00",$30.27B
7/21/2021,"$1,998.00","$2,044.00","$1,957.00","$2,027.00",$31.92B
7/20/2021,"$1,789.00","$2,022.00","$1,773.00","$1,997.00",$40.57B
7/19/2021,"$1,820.00","$1,836.00","$1,723.00","$1,788.00",$31.52B
7/18/2021,"$1,893.00","$1,913.00","$1,812.00","$1,822.00",$23.30B
7/17/2021,"$1,902.00","$1,993.00","$1,883.00","$1,894.00",$23.67B
7/16/2021,"$1,879.00","$1,917.00","$1,850.00","$1,901.00",$23.23B
7/15/2021,"$1,921.00","$1,960.00","$1,857.00","$1,880.00",$26.74B
7/14/2021,"$1,996.00","$2,031.00","$1,894.00","$1,922.00",$28.43B
7/13/2021,"$1,943.00","$2,008.00","$1,873.00","$1,992.00",$30.26B
7/12/2021,"$2,033.00","$2,041.00","$1,929.00","$1,945.00",$27.81B
7/11/2021,"$2,141.00","$2,149.00","$2,017.00","$2,032.00",$27.39B
7/10/2021,"$2,113.00","$2,171.00","$2,094.00","$2,141.00",$23.12B
7/9/2021,"$2,148.00","$2,183.00","$2,083.00","$2,112.00",$29.19B
