time,open,high,low,close,volume
2015-08-08,0.66,0.88,0.57,0.77,3285.0
2015-08-09,0.77,0.82,0.64,0.75,6474.0
2015-08-10,0.76,1.12,0.65,1.08,38766.0
2015-08-11,1.07,1.31,0.79,1.2,1.4
2015-08-12,1.2,2.12,1.07,1.84,2.58
2015-08-13,1.83,2.36,1.73,1.82,2.93
2015-08-14,1.82,1.89,1.5,1.69,1.33
2015-08-15,1.67,1.7,1.07,1.61,2.44
2015-08-16,1.6,1.6,1.14,1.22,1.14
2015-08-17,1.21,1.24,0.98,1.18,1.11
2015-08-18,1.14,1.29,1.14,1.25,886116.0
2015-08-19,1.25,1.55,1.23,1.47,1.84
2015-08-20,1.48,1.58,1.33,1.39,1.35
2015-08-21,1.39,1.5,1.34,1.37,550824.0
2015-08-22,1.37,1.45,1.28,1.35,1.05
2015-08-23,1.37,1.37,1.22,1.23,474458.0
2015-08-24,1.23,1.32,1.12,1.15,811345.0
2015-08-25,1.15,1.2,1.08,1.17,642792.0
2015-08-26,1.16,1.19,1.13,1.15,384239.0
2015-08-27,1.16,1.22,1.16,1.2,290553.0
2015-08-28,1.18,1.2,1.15,1.19,235094.0
2015-08-29,1.19,1.39,1.16,1.32,882760.0
2015-08-30,1.32,1.46,1.21,1.36,954009.0
2015-08-31,1.37,1.4,1.33,1.35,498209.0
2015-09-01,1.35,1.37,1.26,1.3,522558.0
2015-09-02,1.3,1.31,1.19,1.25,456542.0
2015-09-03,1.25,1.32,1.24,1.27,298428.0
2015-09-04,1.28,1.35,1.28,1.35,223548.0
2015-09-05,1.33,1.38,1.29,1.3,235720.0
2015-09-06,1.3,1.33,1.23,1.24,309722.0
2015-09-07,1.25,1.29,1.23,1.25,225768.0
2015-09-08,1.25,1.26,1.19,1.21,219224.0
2015-09-09,1.21,1.22,1.13,1.17,364630.0
2015-09-10,1.16,1.19,0.9,0.97,1.32
2015-09-11,0.98,1.11,0.95,1.05,469222.0
2015-09-12,1.04,1.04,0.9,0.93,307850.0
2015-09-13,0.93,0.96,0.86,0.87,446109.0
2015-09-14,0.88,1.0,0.87,0.94,382749.0
2015-09-15,0.94,0.95,0.89,0.9,258639.0
2015-09-16,0.91,0.92,0.82,0.88,512200.0
2015-09-17,0.88,0.9,0.82,0.85,265897.0
2015-09-18,0.85,0.92,0.83,0.88,170743.0
2015-09-19,0.88,0.96,0.87,0.94,260065.0
2015-09-20,0.93,0.96,0.88,0.92,218150.0
2015-09-21,0.92,0.94,0.87,0.9,162406.0
