evt_block_time,initialBCV,newBCV,adjustment,addition,evt_tx_hash,contract_address,evt_index,evt_block_number
2021-12-11 09:29,13595,13247,348,FALSE,\xe821063c258396407b1a2c76cd8c8bf852d8f7fc9e042296802e8b08166d51d0,\x8510c8c2b6891e04864fa196693d44e6b6ec2514,31,13783041
2021-12-09 18:14,13943,13595,348,FALSE,\x96c710a7a65269a53ce169a59cd013fb4189c21654188d6f325aaa1f7d6463d5,\x8510c8c2b6891e04864fa196693d44e6b6ec2514,15,13772555
2021-10-17 13:04,13732,13943,0,TRUE,\x7e2476eff84c6651de417802eecba1acca11cd388323589eb3ed5dfd924c27e2,\x8510c8c2b6891e04864fa196693d44e6b6ec2514,50,13435591
2021-10-17 03:08,13521,13732,211,TRUE,\x533d1240aea49f580ad284961d38728e40d8fb0db639f3bcc1d912fb81b85fb1,\x8510c8c2b6891e04864fa196693d44e6b6ec2514,269,13432958
2021-10-15 17:28,13310,13521,211,TRUE,\xe2770b0bb49723f9d2cec17f14bccf4d44d5fd25eeb0e10245e8e8e7fd495b0c,\x8510c8c2b6891e04864fa196693d44e6b6ec2514,532,13423971
2021-10-13 19:05,13099,13310,211,TRUE,\x732cd2f0eabaea4bd9f16db3368dd09eee861898cbd19af8dc5c95a3cfb66861,\x8510c8c2b6891e04864fa196693d44e6b6ec2514,149,13411700
2021-10-13 17:21,12888,13099,211,TRUE,\xd1748442108a55029a47d1d7979da6f784f5719e13fb728df850cb0f59bab691,\x8510c8c2b6891e04864fa196693d44e6b6ec2514,530,13411262
2021-10-13 14:53,12677,12888,211,TRUE,\x52db8acfba9e38d94e54d4fd49fb3dda260e86e544e31112d4d993c06e2be207,\x8510c8c2b6891e04864fa196693d44e6b6ec2514,138,13410614
2021-10-12 19:27,12466,12677,211,TRUE,\x991fa01a0cea6551b39b222b80db3068ca996ff178d9123989bc6a0de8049fb5,\x8510c8c2b6891e04864fa196693d44e6b6ec2514,284,13405528
2021-10-11 08:55,12255,12466,211,TRUE,\xee6346a941ceb543413f21bd1d8d93376d288b8a635ae368c67aee4629541e93,\x8510c8c2b6891e04864fa196693d44e6b6ec2514,328,13396358
2021-10-11 00:41,12044,12255,211,TRUE,\x784ef6d68cd586bfc0e8264b998d4650e1f83b83ae2895c74cf40dfa4aa21517,\x8510c8c2b6891e04864fa196693d44e6b6ec2514,270,13394165
2021-10-10 22:51,11833,12044,211,TRUE,\x2865d0d0ab887f1ab4d3be0f5a29b8afb6b256e81a40b86aa42b5327563f23ac,\x8510c8c2b6891e04864fa196693d44e6b6ec2514,92,13393663
2021-10-10 22:11,11622,11833,211,TRUE,\xda9df74fa042fc67d42647829c246c582e5c99a5078d7313a61f9b5a46f1edf8,\x8510c8c2b6891e04864fa196693d44e6b6ec2514,600,13393495
2021-10-10 19:59,11411,11622,211,TRUE,\xb98bba5833a6a4ef45f9ae6514de800e39ed8299ab7a5a45812f5efaa0eab3bd,\x8510c8c2b6891e04864fa196693d44e6b6ec2514,52,13392912
2021-10-10 17:10,11200,11411,211,TRUE,\xe7480b725917fa177afc6de5453132a5ea12ac9dd49ce91a42f0eaea1f8deb95,\x8510c8c2b6891e04864fa196693d44e6b6ec2514,326,13392182
2021-10-10 14:09,10989,11200,211,TRUE,\x4ac64dc5100ba0d0148f470b6b2ccd6241c0da89156d105c4e4842d0908cbe13,\x8510c8c2b6891e04864fa196693d44e6b6ec2514,189,13391336
2021-10-09 18:17,10778,10989,211,TRUE,\x36786e7fe6203a4e5ce11082a09e7f12b67c56704c45afd621f4d92b4bea9658,\x8510c8c2b6891e04864fa196693d44e6b6ec2514,378,13386083
2021-10-09 05:29,10567,10778,211,TRUE,\xd25e84404b108ae59865e5c760d47f57404473d5e1313089014c5037d324878a,\x8510c8c2b6891e04864fa196693d44e6b6ec2514,244,13382706
2021-10-08 03:45,10356,10567,211,TRUE,\x358fc24d44571e159811b40ae2955848f6a3375e585a6957ce04c4f2835a7e25,\x8510c8c2b6891e04864fa196693d44e6b6ec2514,490,13375867
2021-10-07 16:35,10145,10356,211,TRUE,\xa6dcf52d62a674e32a1cc4e8fa6d63887cd79b54d820850fe8bd2d17370e3fef,\x8510c8c2b6891e04864fa196693d44e6b6ec2514,234,13372907
2021-10-07 11:21,9934,10145,211,TRUE,\xd829edae0003fb52632ad2501bfd67332a33b266301d6cf38711093eeab70e4b,\x8510c8c2b6891e04864fa196693d44e6b6ec2514,527,13371515
2021-10-05 23:49,9723,9934,211,TRUE,\xc39af681906cf7ec23bb2e7502ed48e7b8fcb29b318579ae94e1cf2598532620,\x8510c8c2b6891e04864fa196693d44e6b6ec2514,38,13362065
2021-10-04 19:15,9512,9723,211,TRUE,\x2fd6b7ecb7fce516c9e941d77fdcbe978eb3f430145076743698ab358e965ed6,\x8510c8c2b6891e04864fa196693d44e6b6ec2514,57,13354461
2021-10-03 10:42,9301,9512,211,TRUE,\x62087d5980582750584df6c540b8ace22c578c1ae9f8e3a531159d9f4a2149c3,\x8510c8c2b6891e04864fa196693d44e6b6ec2514,487,13345758
2021-10-03 02:22,9090,9301,211,TRUE,\xe5fde544cde899520fe9599339e3abc1b6cbac135f703d5604ec811663961720,\x8510c8c2b6891e04864fa196693d44e6b6ec2514,34,13343590
2021-10-02 20:28,8879,9090,211,TRUE,\xced1fad4f7b9200a51fbbb324d65f4ee8f89a03d7a5ad12c7d0aeda20e951aea,\x8510c8c2b6891e04864fa196693d44e6b6ec2514,523,13342005
2021-10-02 12:55,8668,8879,211,TRUE,\xcf67ca1b45e6014a1df769b0c9f1e74656b73387d4ed25f311a7eb790e994a16,\x8510c8c2b6891e04864fa196693d44e6b6ec2514,48,13339967
2021-10-01 10:17,8457,8668,211,TRUE,\x593cc63d059d2d1e90ebf1626d3531331f7252ccd62a8ad07097500ab469b83e,\x8510c8c2b6891e04864fa196693d44e6b6ec2514,101,13332835
2021-09-30 05:22,8301,8457,156,TRUE,\x8845af38cab2f394a819663b3ba0e57d40065c6143eba3977cbe39d3778225e8,\x8510c8c2b6891e04864fa196693d44e6b6ec2514,143,13325195
2021-09-29 04:39,8145,8301,156,TRUE,\x9aacb7db82f9b8d2c339d99fe04d1557f841446e1ba891157d41f1eca62d26c6,\x8510c8c2b6891e04864fa196693d44e6b6ec2514,13,13318610
2021-09-27 22:30,7989,8145,156,TRUE,\x3616e057196f5d3df10d666ea44e059ba3d926b1ec270f12856f173ad1178e5c,\x8510c8c2b6891e04864fa196693d44e6b6ec2514,534,13310568
2021-09-27 01:32,7833,7989,156,TRUE,\xbe36077226e3bfd01d1f333d0c5e18a9cfb457ff7e34540ed74cd9e2c3f4ed20,\x8510c8c2b6891e04864fa196693d44e6b6ec2514,146,13304977
2021-09-26 00:16,7677,7833,156,TRUE,\x2dd5b62cfde6d5c1ac7349833583ce121f5b6d74b3795559059103c6f4941a23,\x8510c8c2b6891e04864fa196693d44e6b6ec2514,256,13298195
2021-09-25 18:59,7521,7677,156,TRUE,\x2f408933024a374b8506b5a235132dfd8aa8c3dcaef108f8b453ec750cc6dfaf,\x8510c8c2b6891e04864fa196693d44e6b6ec2514,292,13296742
2021-09-25 02:57,7365,7521,156,TRUE,\x1d53e0f4565e12275e3aad08500592eaadc6ba672d50d429d5990d70392e48be,\x8510c8c2b6891e04864fa196693d44e6b6ec2514,186,13292395
2021-09-24 18:57,7209,7365,156,TRUE,\x90415870b201796117636c88aba7d4133f9b8e419fc39c4da172d4499a050067,\x8510c8c2b6891e04864fa196693d44e6b6ec2514,138,13290221
2021-09-23 12:17,7053,7209,156,TRUE,\x51fae0ae45900a9a186b212c11a8298b6c5dbdf134c7ddea8c193889f3bcf139,\x8510c8c2b6891e04864fa196693d44e6b6ec2514,186,13281940
2021-09-22 22:26,6897,7053,156,TRUE,\x7aa163fc8663831a7ecb266bef59a60975294d02a4ac661306fa0c33777b1067,\x8510c8c2b6891e04864fa196693d44e6b6ec2514,107,13278267
2021-09-22 20:40,6741,6897,156,TRUE,\xed9bea48f56b7422b1cd3162688124e370e51fcbc99204255333f8c23da586db,\x8510c8c2b6891e04864fa196693d44e6b6ec2514,221,13277772
2021-09-22 16:14,6585,6741,156,TRUE,\x3bdc0bddbc248c14f238c77dd25150b2d8227a09186e77ce95b1433ec1a0d48e,\x8510c8c2b6891e04864fa196693d44e6b6ec2514,204,13276566
2021-09-21 17:34,6429,6585,156,TRUE,\x3721a228bcc30f69546b47f027c7ff2fa196f928ae62f629d4eae54e8e0bfd34,\x8510c8c2b6891e04864fa196693d44e6b6ec2514,279,13270519
2021-09-20 18:05,6273,6429,156,TRUE,\xc8e09b2cd3641f66aa40ad9de82cafd15c520c317ea1315d2d489c96edb0a97c,\x8510c8c2b6891e04864fa196693d44e6b6ec2514,169,13264146
2021-09-19 22:47,6190,6273,83,TRUE,\x3417c6345584b2c9e61a5a0c357ade4753dd1efb04a9c3a379d0174134afd00e,\x8510c8c2b6891e04864fa196693d44e6b6ec2514,86,13258981
2021-09-19 01:44,6107,6190,83,TRUE,\x9dc7a757c5f6e8854d6513c3ad9f2a265b6af9ee37284170b3c75f5ae11bbeb2,\x8510c8c2b6891e04864fa196693d44e6b6ec2514,446,13253292
2021-09-17 22:30,6024,6107,83,TRUE,\xb3491e5b66ec2e0f39bf9f98307d7149190db7a0f18ccb448637dbdface308dd,\x8510c8c2b6891e04864fa196693d44e6b6ec2514,60,13245943
2021-09-17 05:01,5941,6024,83,TRUE,\x189b1a247b4938390254747d4ffb2861574ea89ad4816843c5115cf067da4ea2,\x8510c8c2b6891e04864fa196693d44e6b6ec2514,383,13241244
2021-09-16 12:29,5858,5941,83,TRUE,\xfc703f7fec2095d151cb4e1dd7fac9b1919fcea270f2132682687705d40b6bb4,\x8510c8c2b6891e04864fa196693d44e6b6ec2514,549,13236763
2021-09-15 18:31,5775,5858,83,TRUE,\x8aeb5b7818f5210df731e9dfbbaf85f84d194d9d7f44ff5ec346bb47c6715ca8,\x8510c8c2b6891e04864fa196693d44e6b6ec2514,273,13231947
2021-09-15 04:57,5692,5775,83,TRUE,\xac16dd445e05bf040b9446e75ed71be08fa02e1d9eb4a6ea60bc78eece2bfff9,\x8510c8c2b6891e04864fa196693d44e6b6ec2514,136,13228263
2021-09-15 03:28,5609,5692,83,TRUE,\x6a358ad0869ca9dc924952d4a4a9bcdfdbe1fda5287dbb7c8e3e1f60cc0381da,\x8510c8c2b6891e04864fa196693d44e6b6ec2514,428,13227887
