hour,price,index,index_adj_price,
2021-11-12 18:00,$883.36,32.57,"$28,767.53",
2021-11-12 17:00,$881.34,32.57,"$28,701.66",
2021-11-12 16:00,$883.08,32.44,"$28,642.65",
2021-11-12 15:00,$882.89,32.44,"$28,636.57",
2021-11-12 14:00,$892.53,32.44,"$28,949.26",
2021-11-12 13:00,$893.15,32.44,"$28,969.50",
2021-11-12 12:00,$898.32,32.44,"$29,137.25",
2021-11-12 11:00,$898.55,32.44,"$29,144.70",
2021-11-12 10:00,$902.63,32.44,"$29,276.85",
2021-11-12 09:00,$912.48,32.44,"$29,596.35",
2021-11-12 08:00,$921.95,32.44,"$29,903.55",
2021-11-12 07:00,$925.55,32.30,"$29,899.79",
2021-11-12 06:00,$927.73,32.30,"$29,970.22",
2021-11-12 05:00,$925.52,32.30,"$29,898.84",
2021-11-12 04:00,$922.64,32.30,"$29,805.78",
2021-11-12 03:00,$924.75,32.30,"$29,873.92",
2021-11-12 02:00,$919.65,32.30,"$29,709.16",
2021-11-12 01:00,$904.97,32.30,"$29,234.93",
2021-11-12 00:00,$890.21,32.30,"$28,758.22",
2021-11-11 23:00,$891.96,32.17,"$28,698.94",
2021-11-11 22:00,$890.58,32.17,"$28,654.24",
2021-11-11 21:00,$887.86,32.17,"$28,566.95",
2021-11-11 20:00,$881.00,32.17,"$28,346.17",
2021-11-11 19:00,$883.30,32.17,"$28,420.17",
2021-11-11 18:00,$885.70,32.17,"$28,497.51",
2021-11-11 17:00,$896.41,32.17,"$28,842.05",
2021-11-11 16:00,$899.56,32.17,"$28,943.24",
2021-11-11 15:00,$896.36,32.05,"$28,724.37",
2021-11-11 14:00,$895.63,32.05,"$28,700.97",
2021-11-11 13:00,$895.00,32.05,"$28,680.79",
2021-11-11 12:00,$896.94,32.05,"$28,743.16",
2021-11-11 11:00,$897.90,32.05,"$28,773.87",
2021-11-11 10:00,$904.04,32.05,"$28,970.43",
2021-11-11 09:00,$905.00,32.05,"$29,001.47",
2021-11-11 08:00,$904.70,32.05,"$28,991.58",
2021-11-11 07:00,$905.72,31.92,"$28,907.84",
2021-11-11 06:00,$908.58,31.92,"$28,999.03",
2021-11-11 05:00,$908.68,31.92,"$29,002.06",
2021-11-11 04:00,$906.29,31.92,"$28,925.82",
2021-11-11 03:00,$902.99,31.92,"$28,820.68",
2021-11-11 02:00,$901.40,31.92,"$28,769.76",
2021-11-11 01:00,$897.38,31.92,"$28,641.58",
2021-11-11 00:00,$894.27,31.92,"$28,542.15",
2021-11-10 23:00,$891.42,31.79,"$28,336.67",
2021-11-10 22:00,$884.87,31.79,"$28,128.54",
2021-11-10 21:00,$881.37,31.79,"$28,017.23",
2021-11-10 20:00,$898.93,31.79,"$28,575.31",
2021-11-10 19:00,$912.26,31.79,"$28,998.99",
2021-11-10 18:00,$921.46,31.79,"$29,291.46",
2021-11-10 17:00,$927.67,31.79,"$29,489.01",
2021-11-10 16:00,$938.02,31.79,"$29,817.93",
2021-11-10 15:00,$945.61,31.79,"$30,059.20",
2021-11-10 14:00,$940.65,31.66,"$29,781.37",
2021-11-10 13:00,$935.58,31.66,"$29,620.96",
2021-11-10 12:00,$932.78,31.66,"$29,532.47",
2021-11-10 11:00,$931.46,31.66,"$29,490.63",
2021-11-10 10:00,$930.48,31.66,"$29,459.54",
2021-11-10 09:00,$931.54,31.66,"$29,492.98",
2021-11-10 08:00,$935.35,31.66,"$29,613.58",
2021-11-10 07:00,$935.02,31.66,"$29,603.12",
2021-11-10 06:00,$939.59,31.53,"$29,628.41",
2021-11-10 05:00,$936.38,31.53,"$29,527.24",
2021-11-10 04:00,$926.39,31.53,"$29,212.21",
2021-11-10 03:00,$926.42,31.53,"$29,213.27",
2021-11-10 02:00,$927.71,31.53,"$29,253.83",
2021-11-10 01:00,$926.34,31.53,"$29,210.70",
2021-11-10 00:00,$940.68,31.53,"$29,662.80",
2021-11-09 23:00,$950.35,31.53,"$29,967.79",
2021-11-09 22:00,$952.91,31.41,"$29,927.78",
2021-11-09 21:00,$951.16,31.41,"$29,872.87",
2021-11-09 20:00,$955.39,31.41,"$30,005.71",
2021-11-09 19:00,$949.94,31.41,"$29,834.37",
2021-11-09 18:00,$947.27,31.41,"$29,750.67",
2021-11-09 17:00,$950.99,31.41,"$29,867.44",
2021-11-09 16:00,$966.39,31.41,"$30,351.17",
2021-11-09 15:00,$971.79,31.41,"$30,520.70",
2021-11-09 14:00,$974.44,31.28,"$30,481.22",
2021-11-09 13:00,$972.40,31.28,"$30,417.32",
2021-11-09 12:00,$968.59,31.28,"$30,298.07",
2021-11-09 11:00,$967.31,31.28,"$30,258.00",
2021-11-09 10:00,$962.80,31.28,"$30,117.06",
2021-11-09 09:00,$962.46,31.28,"$30,106.47",
2021-11-09 08:00,$966.09,31.28,"$30,219.81",
2021-11-09 07:00,$969.17,31.28,"$30,316.31",
2021-11-09 06:00,$969.73,31.28,"$30,333.81",
2021-11-09 05:00,$969.76,31.16,"$30,213.00",
2021-11-09 04:00,$969.45,31.16,"$30,203.33",
2021-11-09 03:00,$966.65,31.16,"$30,115.89",
2021-11-09 02:00,$966.47,31.16,"$30,110.22",
2021-11-09 01:00,$963.99,31.16,"$30,033.15",
2021-11-09 00:00,$965.43,31.16,"$30,078.02",
2021-11-08 23:00,$965.49,31.16,"$30,079.91",
2021-11-08 22:00,$978.23,31.16,"$30,476.72",
