time,treasury_mv,bct_mv,klima_bct_mv,bct_usdc_mv
2021-12-07 00:00,"$135,028,728.00",18933044.796566233,72365150.78925258,43730532.05994991
2021-12-06 00:00,"$135,419,981.00",18765921.212199993,73504322.86456662,43149737.257330984
2021-12-05 00:00,"$135,368,045.00",18556604.063777678,75475428.09128721,41336012.79222399
2021-12-04 00:00,"$128,269,941.00",16945634.014101613,72364980.94727172,38959326.308002405
2021-12-03 00:00,"$129,068,979.00",16529880.02652678,72426100.63603199,40112998.34198763
2021-12-02 00:00,"$134,417,384.00",16718711.900800483,78024885.67202225,39673786.86290524
2021-12-01 00:00,"$150,422,253.00",18532019.40447576,89432724.58745852,42457508.745179735
2021-11-30 00:00,"$163,986,856.00",19753982.049295284,99254182.37994371,44978691.92246112
2021-11-29 00:00,"$168,714,045.00",19706455.521426227,105614245.48160107,43393344.11657199
2021-11-28 00:00,"$167,541,429.00",19077718.466999862,104325355.62255608,44138354.91095999
2021-11-27 00:00,"$167,661,245.00",18524712.89266033,106199324.45433305,42937208.0530441
2021-11-26 00:00,"$159,889,556.00",17401730.772572044,100989280.74773403,41498544.605593115
2021-11-25 00:00,"$161,361,897.00",17455347.659723412,103652482.11198018,40254067.54541385
2021-11-24 00:00,"$154,420,955.00",16391943.415339967,98931477.48596054,39097533.708475016
2021-11-23 00:00,"$147,179,304.00",15311305.848540198,94577213.47197936,37290784.970047526
2021-11-22 00:00,"$145,406,717.00",15107096.941527102,92908990.3064071,37390629.30575536
2021-11-21 00:00,"$152,319,879.00",15358360.107283639,98050381.84671661,38911137.0856393
2021-11-20 00:00,"$149,248,441.00",14662917.736190027,97084280.68578826,37501242.54648188
2021-11-19 00:00,"$131,370,321.00",12836773.351325322,84688837.08807127,33844710.85569129
2021-11-18 00:00,"$116,571,958.00",11657988.2021209,72316470.28011383,32597499.174642444
2021-11-17 00:00,"$111,436,339.00",11144384.584663283,69010602.9656938,31281351.675118458
2021-11-16 00:00,"$108,490,155.00",10783890.546923678,67034416.70479553,30671847.35523687
2021-11-15 00:00,"$118,466,163.00",11357070.310859501,74861276.05517897,32247816.288737364
2021-11-14 00:00,"$117,589,386.00",11024356.551647734,75401826.12522088,31163203.478516072
2021-11-13 00:00,"$111,007,869.00",10637900.48092773,70796795.82172711,29573173.020303357
2021-11-12 00:00,"$105,910,305.00",9903482.15262291,67453625.87264897,28553196.683332127
2021-11-11 00:00,"$109,508,950.00",10103655.778814033,70101591.67370266,29303702.435147148
2021-11-10 00:00,"$111,491,103.00",10177059.078132335,72351142.17547092,28962902.014948335
2021-11-09 00:00,"$107,223,548.00",9935634.101705529,69696623.15006666,27591290.749378245
2021-11-08 00:00,"$107,302,137.00",9685792.51266295,70222544.7195898,27393799.676130366
2021-11-07 00:00,"$105,280,814.00",9507442.597087068,69144995.6439141,26628375.385904178
2021-11-06 00:00,"$97,397,046.00",8992969.86774555,63198687.33574493,25205388.52924961
2021-11-05 00:00,"$95,513,500.00",8513937.439305695,62762516.35437387,24237046.15393965
2021-11-04 00:00,"$98,143,245.00",8984961.789666926,64416853.46617414,24741429.763062965
2021-11-03 00:00,"$85,577,536.00",7697181.491422159,56649596.757025845,21230758.178201173
2021-11-02 00:00,"$75,156,234.00",6930989.570271572,48183453.50638919,20041790.887303412
2021-11-01 00:00,"$65,077,617.00",6259400.368300548,40841705.10498198,17976511.612306472
2021-10-31 00:00,"$65,287,074.00",6287150.882310945,40583210.95927043,18416712.125782236
2021-10-30 00:00,"$63,227,370.00",6075264.780865866,40300656.98637318,16851448.06575185
2021-10-29 00:00,"$58,162,753.00",5781255.072368415,35811050.42912569,16570447.840177335
2021-10-28 00:00,"$70,380,767.00",6871636.092894458,45972477.92357504,17536652.732976306
2021-10-27 00:00,"$72,178,933.00",7000122.123544262,48652400.224702306,16526410.345722608
2021-10-26 00:00,"$75,035,195.00",7117711.905447394,50786548.20210116,17130934.74267823
2021-10-25 00:00,"$64,363,858.00",6505390.175408355,43454960.13295909,14403507.494496135
2021-10-24 00:00,"$57,660,085.00",5641624.450429477,38239770.469888516,13778689.918647928
2021-10-23 00:00,"$56,503,923.00",5414566.947827116,37490808.77308217,13598547.317693269
2021-10-22 00:00,"$48,781,823.00",4828786.427109333,32030149.137704853,11922886.950879714
2021-10-21 00:00,"$43,451,740.00",4476307.605817587,26529708.689668074,12445723.58434219
2021-10-20 00:00,"$38,893,865.00",4642585.462165959,22682003.442917265,11569276.001687396
2021-10-19 00:00,"$43,938,934.00",6307724.768656928,25390426.614906263,12240783.074261868
2021-10-18 00:00,"$62,649,623.00",10638767.451447241,34174200.16890599,17836654.91562453
