evt_block_time,initialBCV,newBCV,adjustment,addition,evt_tx_hash,contract_address,evt_index,evt_block_number
2021-11-23 04:24,204,207,3,TRUE,\x15ad11aa3d9ca8aebe840ebc0defd03bc374356ff6c112d83464160f6bd86b82,\x956c43998316b6a2f21f89a1539f73fb5b78c151,130,13668713
2021-11-17 22:22,201,204,3,TRUE,\xba4e414a996c68f2aa287c0d24bae04f03af423381e491cd53e146d10a400ab5,\x956c43998316b6a2f21f89a1539f73fb5b78c151,188,13635602
2021-11-17 17:30,198,201,3,TRUE,\xfdcf10e8a1ce415a139ec028a356727f4226d7aba7cd64995624e42123b77dd8,\x956c43998316b6a2f21f89a1539f73fb5b78c151,12,13634304
2021-11-17 09:09,195,198,3,TRUE,\x7c9f6a8078c9ad2bf5781712b41623f385eb13dbcd8d8ee3b1c5b6d6098cb356,\x956c43998316b6a2f21f89a1539f73fb5b78c151,21,13632051
2021-11-16 18:06,192,195,3,TRUE,\xd0626adf67b305fde04fd928a5f54c06ce991d1661371fe588b4185abf49a747,\x956c43998316b6a2f21f89a1539f73fb5b78c151,61,13628082
2021-11-16 10:55,189,192,3,TRUE,\x4f575e61d30198095f2802594c07023ebc396303e2f51132caca0a7aff860861,\x956c43998316b6a2f21f89a1539f73fb5b78c151,97,13626204
2021-11-15 20:32,186,189,3,TRUE,\xa00f85589c09d46d51a900fba2945925b594066feb29876e001614f52b3cc41c,\x956c43998316b6a2f21f89a1539f73fb5b78c151,76,13622440
2021-11-15 11:59,183,186,3,TRUE,\xdb7c2fe9fffb5f6afe20fb291558569760259fd27922fed2638e031534f68402,\x956c43998316b6a2f21f89a1539f73fb5b78c151,98,13620205
2021-11-15 03:35,180,183,3,TRUE,\x9842276489dee5697c0268f6c2e3871b04e1594df2e74f872bfa70c7e47984c8,\x956c43998316b6a2f21f89a1539f73fb5b78c151,54,13618011
2021-11-14 23:21,177,180,3,TRUE,\x8d6efeebbaee018132386bb447e9720083707908243dbddb44566498c8f0597e,\x956c43998316b6a2f21f89a1539f73fb5b78c151,64,13616900
2021-11-14 17:12,174,177,3,TRUE,\x61b017f230c22fa9515ca47c08f7473154dc6326795f92866208c18564589621,\x956c43998316b6a2f21f89a1539f73fb5b78c151,52,13615223
2021-11-14 11:31,171,174,3,TRUE,\xec1b875e80000fb036d2dbf1988dd3abb4a92e3786e629b21f590d53940d0283,\x956c43998316b6a2f21f89a1539f73fb5b78c151,404,13613716
2021-11-14 02:18,168,171,3,TRUE,\x5d0c80288cd8294516f8209400bee5f80580e846315ac54ddb772df11bf0a287,\x956c43998316b6a2f21f89a1539f73fb5b78c151,222,13611299
2021-11-14 00:40,165,168,3,TRUE,\x9f5f9163cf210222f6dc36dd4d1aef298b593103f4a7a7e5988d9dc0e4540193,\x956c43998316b6a2f21f89a1539f73fb5b78c151,46,13610894
2021-11-13 17:39,162,165,3,TRUE,\xb3e6b2844ec938d04ec64df7e2c3501cea14ff90b71f27ab87ab363ccf992090,\x956c43998316b6a2f21f89a1539f73fb5b78c151,75,13609033
