time,treasury_rfv,lusd_rfv,frax_rfv,dai_rfv
2021-11-12 00:00,171857150,79596415,13731566,78529169
2021-11-11 00:00,170859523,79596231,13727164,77536128
2021-11-10 00:00,170064819,79596147,13619174,76849498
2021-11-09 00:00,169806542,79595920,13614798,76595824
2021-11-08 00:00,168989844,79595844,13467979,75926021
2021-11-07 00:00,168036372,79595736,13333549,75107087
2021-11-06 00:00,167249622,79595464,13198680,74455478
2021-11-05 00:00,167152146,79595107,13185582,74371457
2021-11-04 00:00,165891285,79530212,13116199,73244874
2021-11-03 00:00,164642034,78676814,13073484,72891735
2021-11-02 00:00,162834453,77794407,13069124,71970923
2021-11-01 00:00,161186960,76553285,12928276,71705399
2021-10-31 00:00,158201552,74879346,12785543,70536663
2021-10-30 00:00,157462702,74381352,12710974,70370377
2021-10-29 00:00,155507778,73614725,12708278,69184775
2021-10-28 00:00,153038351,72029237,12584975,68424139
2021-10-27 00:00,150473190,70383347,12580860,67508983
2021-10-26 00:00,148626709,69298519,12316239,67011951
2021-10-25 00:00,147283968,68427606,12311813,66544549
2021-10-24 00:00,145552468,67709345,12200374,65642749
2021-10-23 00:00,141146214,63891374,12086252,65168588
2021-10-22 00:00,134691869,59014007,11981230,63696632
2021-10-21 00:00,130605950,55882446,11855374,62868130
2021-10-20 00:00,128101618,53733149,11851916,62516553
2021-10-19 00:00,123588902,50162477,11763822,61662603
2021-10-18 00:00,119843848,47307552,11648794,60887501
2021-10-17 00:00,117976189,45783624,11645535,60547030
2021-10-16 00:00,115464521,44034652,11540100,59889769
2021-10-15 00:00,113694229,42481826,11533449,59678953
2021-10-14 00:00,112543119,41510255,11451047,59581818
2021-10-13 00:00,109316580,39236427,11446557,58633595
2021-10-12 00:00,103431833,34285871,11349111,57796851
2021-10-11 00:00,99402705,30878748,11252625,57271332
2021-10-10 00:00,95260554,27590157,11117555,56552842
2021-10-09 00:00,91212760,24413955,11082185,55716620
2021-10-08 00:00,87450826,21282296,10986402,55182128
2021-10-07 00:00,84310067,18997469,10911381,54401217
2021-10-06 00:00,82460417,17701837,10871379,53887201
2021-10-05 00:00,80704295,16218715,10845320,53640261
2021-10-04 00:00,77633204,14014680,10776461,52842063
2021-10-03 00:00,73015854,10077034,10698173,52240647
2021-10-02 00:00,69315909,7430685,10541568,51343657
2021-10-01 00:00,66848430,5808355,10521619,50518456
2021-09-30 00:00,65567655,4916337,10454179,50197139
2021-09-29 00:00,62711778,3153371,10050434,49507973
2021-09-28 00:00,61186042,2410448,9966906,48808689
2021-09-27 00:00,59810442,1745859,9960555,48104027
2021-09-26 00:00,58525132,1325106,9828076,47371950
2021-09-25 00:00,57737017,1114871,9799254,46822892
2021-09-24 00:00,56654267,935868,9788406,45929993
2021-09-23 00:00,56287041,935868,9716117,45635055
2021-09-22 00:00,55187571,247921,9709870,45229780
2021-09-21 00:00,54305113,0,9630224,44674889
2021-09-20 00:00,53374637,0,9562788,43811848
2021-09-19 00:00,52814460,0,9496794,43317666
2021-09-18 00:00,51369637,0,9410582,41959056
