time,ohm_staked,ohm_not_staked
2021-11-12 00:00,3765701.347916833,391041.290496862
2021-11-11 00:00,3713677.822066506,384225.625546959
2021-11-10 00:00,3661124.077527105,380303.874975377
2021-11-09 00:00,3633357.670828483,362712.845470433
2021-11-08 00:00,3583121.75988797,356438.401168646
2021-11-07 00:00,3520468.91988458,360817.529518244
2021-11-06 00:00,3453074.803567184,372195.959491219
2021-11-05 00:00,3418186.044447912,351289.212165794
2021-11-04 00:00,3380495.32548562,322699.789752516
2021-11-03 00:00,3342216.953413771,305328.935723792
2021-11-02 00:00,3301553.145185474,285264.248366633
2021-11-01 00:00,3252912.884567793,281849.303075968
2021-10-31 00:00,3214624.061126151,278363.318408604
2021-10-30 00:00,3176918.736828243,265775.076479437
2021-10-29 00:00,3134825.252054456,257975.753543131
2021-10-28 00:00,3091262.11421871,251960.875191627
2021-10-27 00:00,3029252.07262807,264511.293895708
2021-10-26 00:00,2987117.075402962,257941.733325217
2021-10-25 00:00,2954068.497088831,237999.697443541
2021-10-24 00:00,2896756.177276261,242267.538496668
2021-10-23 00:00,2843464.510211127,242518.819760354
2021-10-22 00:00,2786635.943256815,246693.7416096
2021-10-21 00:00,2750486.428821616,245179.947240001
2021-10-20 00:00,2714466.046874452,236778.602581665
2021-10-19 00:00,2669961.662310964,233630.400126146
2021-10-18 00:00,2620529.148302143,236632.113948413
2021-10-17 00:00,2579503.52159033,230853.055467904
2021-10-16 00:00,2544658.075972388,224997.366441178
2021-10-15 00:00,2521896.136710331,208422.324511192
2021-10-14 00:00,2496668.777152827,195117.949280943
2021-10-13 00:00,2467334.871746784,185412.379710177
2021-10-12 00:00,2413556.17423898,190673.267153503
2021-10-11 00:00,2381657.200483726,175554.142192157
2021-10-10 00:00,2350739.96953874,164436.739130414
2021-10-09 00:00,2311817.780205114,161778.811938132
2021-10-08 00:00,2269892.212756731,160449.045562193
2021-10-07 00:00,2229947.120171621,160647.874972489
2021-10-06 00:00,2187303.182397129,168594.82830709
2021-10-05 00:00,2170483.821926332,148347.171067874
2021-10-04 00:00,2133784.965201709,146979.764743358
2021-10-03 00:00,2101753.647968478,142701.155574047
2021-10-02 00:00,2065349.452944448,143790.268456227
2021-10-01 00:00,2038969.681484356,144498.341857357
2021-09-30 00:00,2009849.948500982,137597.353444139
2021-09-29 00:00,1974560.759084045,136986.722806804
2021-09-28 00:00,1939602.92489421,141044.285731143
2021-09-27 00:00,1910725.974922252,138895.811653414
